DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
989,Forest Green,#6C9254,108,146,84,26,0,42.5,42.7
991,Aquamarine dark,#0D5850,13,88,80,85.2,0,9.1,65.5
992,Aquamarine medium,#369380,54,147,128,63.3,0,12.9,42.4
993,Aquamarine light,#55AB90,85,171,144,50.3,0,15.8,32.9
995,Electric Blue dark,#006FBC,0,111,188,100,41,0,26.3
996,Electric Blue medium,#0097E1,0,151,225,100,32.9,0,11.8
3011,Khaki Green dark,#5C5830,92,88,48,0,4.3,47.8,63.9
3012,Khaki Green medium,#7D7340,125,115,64,0,8,48.8,51
3013,Khaki Green light,#A39F6A,163,159,106,0,2.5,35,36.1
3021,Brown Grey very dark,#46382E,70,56,46,0,20,34.3,72.5
3022,Brown Grey medium,#73725F,115,114,95,0,0.9,17.4,54.9
3023,Brown Grey light,#938D76,147,141,118,0,4.1,19.7,42.4
3024,Brown Grey very light,#B9B09F,185,176,159,0,4.9,14.1,27.5
3031,Mocha Brown very dark,#422E25,66,46,37,0,30.3,43.9,74.1
3032,Mocha Brown medium,#968669,150,134,105,0,10.7,30,41.2
3033,Mocha Brown very light,#D2BDA6,210,189,166,0,10,21,17.6
3041,Antique Violet medium,#725465,114,84,101,0,26.3,11.4,55.3
3042,Antique Violet light,#967C8D,150,124,141,0,17.3,6,41.2
3045,Yellow Beige dark,#9F7646,159,118,70,0,25.8,56,37.6
3046,Yellow Beige medium,#C5A966,197,169,102,0,14.2,48.2,22.7
3047,Yellow Beige light,#DBC991,219,201,145,0,8.2,33.8,14.1
3051,Green Grey dark,#464D2E,70,77,46,9.1,0,40.3,69.8
3052,Green Grey medium,#717C54,113,124,84,8.9,0,32.3,51.4
3053,Green Grey,#8B9669,139,150,105,7.3,0,30,41.2
3064,Desert Sand,#B87359,184,115,89,0,37.5,51.6,27.8
3072,Beaver Grey very light,#C2C6BE,194,198,190,2,0,4,22.4
3078,Golden Yellow very light,#FAEB97,250,235,151,0,6,39.6,2
3325,Baby Blue light,#8EB8D8,142,184,216,34.3,14.8,0,15.3
3326,Rose light (776),#F793A6,247,147,166,0,40.5,32.8,3.1
3328,Salmon dark,#C1424B,193,66,75,0,65.8,61.1,24.3
3340,Apricot medium,#FF6647,255,102,71,0,60,72.2,0
3341,Apricot,#FF8166,255,129,102,0,49.4,60,0
3345,Hunter Green dark,#344A25,52,74,37,29.7,0,50,71
3346,Hunter Green,#4D6130,77,97,48,20.6,0,50.5,62
3347,Yellow Green medium,#6B834A,107,131,74,18.3,0,43.5,48.6
3348,Yellow Green light,#A3B86A,163,184,106,11.4,0,42.4,27.8
3350,Dusty Rose ultra dark,#9E2946,158,41,70,0,74.1,55.7,38
3354,Dusty Rose light,#E7899E,231,137,158,0,40.7,31.6,9.4
3362,Pine Green dark,#424A33,66,74,51,10.8,0,31.1,71
3363,Pine Green medium,#5B6B4A,91,107,74,15,0,30.8,58
3364,Pine Green,#89965F,137,150,95,8.7,0,36.7,41.2
3371,Black Brown,#2B2421,43,36,33,0,16.3,23.3,83.1
3607,Plum light,#BF3D8F,191,61,143,0,68.1,25.1,25.1
3608,Plum very light,#D770AD,215,112,173,0,47.9,19.5,15.7
3609,Plum ultra light,#E591CE,229,145,206,0,36.7,10,10.2
3685,Mauve dark,#6A1836,106,24,54,0,77.4,49.1,58.4
3687,Mauve,#B13D64,177,61,100,0,65.5,43.5,30.6
3688,Mauve medium,#D16987,209,105,135,0,49.8,35.4,18
3689,Mauve light,#F5ACC2,245,172,194,0,29.8,20.8,3.9
3705,Melon dark,#EE3A4D,238,58,77,0,75.6,67.6,6.7
3706,Melon medium,#FF6175,255,97,117,0,62,54.1,0
3708,Melon light,#FF889E,255,136,158,0,46.7,38,0
3712,Salmon medium,#CF575C,207,87,92,0,58,55.6,18.8
